,"
UF","
Código do Município","
Município",Fevereiro/2025,Pop IBGE 2024,%,
,MG,314080,Mg-Matias Barbosa,6.443,14.501,"44,43%",69
,MG,314085,Mg-Matias Cardoso,894,8.975,"9,96%",
,MG,314090,Mg-Matipo,2.440,19.054,"12,81%",
,MG,314100,Mg-Mato Verde,862,12.238,"7,04%",
,MG,314110,Mg-Matozinhos,16.777,39.291,"42,70%",
,MG,314120,Mg-Matutina,346,3.907,"8,86%",
,MG,314130,Mg-Medeiros,641,4.040,"15,87%",
,MG,314140,Mg-Medina,1.392,20.492,"6,79%",
,MG,314150,Mg-Mendes Pimentel,282,5.651,"4,99%",
,MG,314160,Mg-Merces,885,10.609,"8,34%",
,MG,314170,Mg-Mesquita,128,5.038,"2,54%",
,MG,314180,Mg-Minas Novas,1.764,24.191,"7,29%",
,MG,314190,Mg-Minduri,739,3.815,"19,37%",
,MG,314200,Mg-Mirabela,645,14.029,"4,60%",
,MG,314210,Mg-Miradouro,811,9.026,"8,99%",
,MG,314220,Mg-Mirai,2.293,13.922,"16,47%",
,MG,314225,Mg-Miravania,59,4.011,"1,47%",
,MG,314230,Mg-Moeda,561,5.291,"10,60%",
,MG,314240,Mg-Moema,791,7.778,"10,17%",
,MG,314250,Mg-Monjolos,175,2.196,"7,97%",
,MG,314260,Mg-Monsenhor Paulo,1.723,8.550,"20,15%",
,MG,314270,Mg-Montalvania,698,14.160,"4,93%",
,MG,314280,Mg-Monte Alegre de Minas,3.786,20.666,"18,32%",
,MG,314290,Mg-Monte Azul,966,20.577,"4,69%",
,MG,314300,Mg-Monte Belo,4.387,13.340,"32,89%",
,MG,314310,Mg-Monte Carmelo,10.498,49.354,"21,27%",
,MG,314315,Mg-Monte Formoso,81,4.449,"1,82%",
,MG,314320,Mg-Monte Santo de Minas,4.128,21.301,"19,38%",
,MG,314330,Mg-Montes Claros,97.118,434.321,"22,36%",
,MG,314340,Mg-Monte Siao,4.868,24.933,"19,52%",
,MG,314345,Mg-Montezuma,352,6.979,"5,04%",
,MG,314350,Mg-Morada Nova de Minas,2.301,9.364,"24,57%",
,MG,314360,Mg-Morro da Garca,189,2.438,"7,75%",
,MG,314370,Mg-Morro do Pilar,77,3.174,"2,43%",
,MG,314380,Mg-Munhoz,1.006,7.857,"12,80%",
,MG,314390,Mg-Muriae,25.020,108.161,"23,13%",
,MG,314400,Mg-Mutum,2.639,28.670,"9,20%",
,MG,314410,Mg-Muzambinho,4.015,22.527,"17,82%",
,MG,314420,Mg-Nacip Raydan,25,2.437,"1,03%",
,MG,314430,Mg-Nanuque,5.750,35.554,"16,17%",
,MG,314435,Mg-Naque,381,6.442,"5,91%",
,MG,314437,Mg-Natalandia,240,3.626,"6,62%",
,MG,314440,Mg-Natercia,385,4.800,"8,02%",
,MG,314450,Mg-Nazareno,1.896,8.390,"22,60%",
,MG,314460,Mg-Nepomuceno,3.673,25.774,"14,25%",
,MG,314465,Mg-Ninheira,506,10.915,"4,64%",
,MG,314467,Mg-Nova Belem,45,3.156,"1,43%",
,MG,314470,Mg-Nova Era,4.095,17.807,"23,00%",
,MG,314480,Mg-Nova Lima,61.913,119.142,"51,97%",
,MG,314490,Mg-Nova Modica,189,3.731,"5,07%",
,MG,314500,Mg-Nova Ponte,3.646,15.113,"24,12%",
,MG,314505,Mg-Nova Porteirinha,1.078,6.780,"15,90%",
,MG,314510,Mg-Nova Resende,1.423,16.854,"8,44%",
,MG,314520,Mg-Nova Serrana,27.152,112.910,"24,05%",
,MG,314530,Mg-Novo Cruzeiro,1.388,27.453,"5,06%",
,MG,314535,Mg-Novo Oriente de Minas,348,10.501,"3,31%",
,MG,314537,Mg-Novorizonte,418,4.630,"9,03%",
,MG,314540,Mg-Olaria,105,1.986,"5,29%",
,MG,314545,Mg-Olhos D Agua,1.012,5.520,"18,33%",
,MG,314550,Mg-Olimpio Noronha,189,2.616,"7,22%",
,MG,314560,Mg-Oliveira,10.175,40.552,"25,09%",
,MG,314570,Mg-Oliveira Fortes,58,2.062,"2,81%",
,MG,314580,Mg-Onca de Pitangui,350,3.027,"11,56%",
,MG,314585,Mg-Oratorios,382,5.076,"7,53%",
,MG,314587,Mg-Orizania,363,8.759,"4,14%",
,MG,314590,Mg-Ouro Branco,15.395,40.411,"38,10%",
,MG,314600,Mg-Ouro Fino,6.778,33.227,"20,40%",
,MG,314610,Mg-Ouro Preto,18.629,77.601,"24,01%",
,MG,314620,Mg-Ouro Verde de Minas,142,5.858,"2,42%",
,MG,314625,Mg-Padre Carvalho,156,5.085,"3,07%",
,MG,314630,Mg-Padre Paraiso,968,17.537,"5,52%",
,MG,314640,Mg-Paineiras,302,4.273,"7,07%",
,MG,314650,Mg-Pains,2.570,8.341,"30,81%",
,MG,314655,Mg-Pai Pedro,72,5.634,"1,28%",
,MG,314660,Mg-Paiva,128,1.498,"8,54%",
,MG,314670,Mg-Palma,372,5.742,"6,48%",
,MG,314675,Mg-Palmopolis,103,6.373,"1,62%",
,MG,314690,Mg-Papagaios,3.063,14.207,"21,56%",
,MG,314700,Mg-Paracatu,29.504,98.397,"29,98%",
,MG,314710,Mg-Para de Minas,29.634,102.033,"29,04%",
,MG,314720,Mg-Paraguacu,5.437,22.357,"24,32%",
,MG,314730,Mg-Paraisopolis,4.879,21.005,"23,23%",
,MG,314740,Mg-Paraopeba,5.623,24.800,"22,67%",
,MG,314750,Mg-Passabem,106,1.617,"6,56%",
,MG,314760,Mg-Passa Quatro,3.176,15.842,"20,05%",
,MG,314770,Mg-Passa Tempo,1.933,8.696,"22,23%",
,MG,314780,Mg-Passa Vinte,277,2.301,"12,04%",
,MG,314790,Mg-Passos,27.285,116.530,"23,41%",
,MG,314795,Mg-Patis,43,4.863,"0,88%",
,MG,314800,Mg-Patos de Minas,50.694,167.870,"30,20%",
,MG,314810,Mg-Patrocinio,24.002,93.852,"25,57%",
,MG,314820,Mg-Patrocinio do Muriae,696,5.735,"12,14%",
,MG,314830,Mg-Paula Candido,464,8.786,"5,28%",
,MG,314840,Mg-Paulistas,263,4.429,"5,94%",
,MG,314850,Mg-Pavao,484,8.168,"5,93%",
,MG,314860,Mg-Pecanha,885,17.843,"4,96%",
,MG,314870,Mg-Pedra Azul,2.079,24.999,"8,32%",
,MG,314875,Mg-Pedra Bonita,120,7.559,"1,59%",
,MG,314880,Mg-Pedra do Anta,299,3.371,"8,87%",
,MG,314890,Mg-Pedra do Indaia,1.272,4.232,"30,06%",
,MG,314900,Mg-Pedra Dourada,216,2.883,"7,49%",
,MG,314910,Mg-Pedralva,1.083,10.924,"9,91%",
,MG,314915,Mg-Pedras de Maria da Cruz,303,10.619,"2,85%",
,MG,314920,Mg-Pedrinopolis,426,3.404,"12,51%",
,MG,314930,Mg-Pedro Leopoldo,18.370,64.910,"28,30%",
,MG,314940,Mg-Pedro Teixeira,55,1.854,"2,97%",
,MG,314950,Mg-Pequeri,598,3.448,"17,34%",
,MG,314960,Mg-Pequi,532,4.258,"12,49%",
,MG,314970,Mg-Perdigao,2.568,12.925,"19,87%",
,MG,314980,Mg-Perdizes,6.426,17.830,"36,04%",
,MG,314990,Mg-Perdoes,4.320,21.991,"19,64%",
,MG,314995,Mg-Periquito,348,6.647,"5,24%",
,MG,315000,Mg-Pescador,158,3.587,"4,40%",
,MG,315010,Mg-Piau,257,2.854,"9,00%",70
,MG,315015,Mg-Piedade de Caratinga,638,8.883,"7,18%",71
,MG,315020,Mg-Piedade de Ponte Nova,603,4.056,"14,87%",
,MG,315030,Mg-Piedade do Rio Grande,615,4.697,"13,09%",
,MG,315040,Mg-Piedade dos Gerais,312,5.175,"6,03%",
,MG,315050,Mg-Pimenta,1.394,8.794,"15,85%",
,MG,315053,Mg-Pingo D Agua,192,4.845,"3,96%",
,MG,315057,Mg-Pintopolis,206,7.231,"2,85%",
,MG,315060,Mg-Piracema,785,6.884,"11,40%",
,MG,315070,Mg-Pirajuba,3.247,5.762,"56,35%",
,MG,315080,Mg-Piranga,1.126,17.360,"6,49%",
,MG,315090,Mg-Pirangucu,430,6.271,"6,86%",
,MG,315100,Mg-Piranguinho,915,9.451,"9,68%",
,MG,315110,Mg-Pirapetinga,1.969,11.408,"17,26%",
,MG,315120,Mg-Pirapora,14.875,57.543,"25,85%",
,MG,315130,Mg-Pirauba,2.274,11.958,"19,02%",
,MG,315140,Mg-Pitangui,4.047,27.734,"14,59%",
,MG,315150,Mg-Piumhi,8.234,37.742,"21,82%",
,MG,315160,Mg-Planura,1.260,11.484,"10,97%",
,MG,315170,Mg-Poco Fundo,1.856,16.791,"11,05%",
,MG,315180,Mg-Pocos de Caldas,52.994,171.533,"30,89%",
,MG,315190,Mg-Pocrane,311,8.468,"3,67%",
,MG,315200,Mg-Pompeu,5.819,32.305,"18,01%",
,MG,315210,Mg-Ponte Nova,17.243,59.569,"28,95%",
,MG,315213,Mg-Ponto Chique,144,3.807,"3,78%",
,MG,315217,Mg-Ponto dos Volantes,297,11.077,"2,68%",
,MG,315220,Mg-Porteirinha,2.434,38.668,"6,29%",
,MG,315230,Mg-Porto Firme,456,10.825,"4,21%",
,MG,315240,Mg-Pote,507,13.751,"3,69%",
,MG,315250,Mg-Pouso Alegre,60.117,160.751,"37,40%",
,MG,315260,Mg-Pouso Alto,1.734,6.755,"25,67%",
,MG,315270,Mg-Prados,1.680,9.327,"18,01%",
,MG,315280,Mg-Prata,7.366,29.578,"24,90%",
,MG,315290,Mg-Pratapolis,1.163,8.551,"13,60%",
,MG,315300,Mg-Pratinha,552,3.673,"15,03%",
,MG,315310,Mg-Presidente Bernardes,309,4.883,"6,33%",
,MG,315320,Mg-Presidente Juscelino,230,3.493,"6,58%",
,MG,315330,Mg-Presidente Kubitschek,72,3.154,"2,28%",
,MG,315340,Mg-Presidente Olegario,3.252,19.177,"16,96%",
,MG,315350,Mg-Alto Jequitiba,619,8.596,"7,20%",
,MG,315360,Mg-Prudente de Morais,1.444,11.940,"12,09%",
,MG,315370,Mg-Quartel Geral,238,3.237,"7,35%",
,MG,315380,Mg-Queluzita,226,1.800,"12,56%",
,MG,315390,Mg-Raposos,798,16.735,"4,77%",
,MG,315400,Mg-Raul Soares,2.214,23.882,"9,27%",
,MG,315410,Mg-Recreio,724,11.337,"6,39%",
,MG,315415,Mg-Reduto,685,8.170,"8,38%",
,MG,315420,Mg-Resende Costa,1.186,11.520,"10,30%",
,MG,315430,Mg-Resplendor,1.617,17.612,"9,18%",
,MG,315440,Mg-Ressaquinha,705,4.641,"15,19%",
,MG,315445,Mg-Riachinho,490,6.890,"7,11%",
,MG,315450,Mg-Riacho dos Machados,1.020,8.886,"11,48%",
,MG,315460,Mg-Ribeirao das Neves,29.945,344.828,"8,68%",
,MG,315470,Mg-Ribeirao Vermelho,612,4.201,"14,57%",
,MG,315480,Mg-Rio Acima,1.094,10.626,"10,30%",
,MG,315490,Mg-Rio Casca,1.845,12.921,"14,28%",
,MG,315500,Mg-Rio Doce,456,2.542,"17,94%",
,MG,315510,Mg-Rio do Prado,152,4.679,"3,25%",
,MG,315520,Mg-Rio Espera,138,5.479,"2,52%",
,MG,315530,Mg-Rio Manso,360,5.727,"6,29%",
,MG,315540,Mg-Rio Novo,846,8.689,"9,74%",
,MG,315550,Mg-Rio Paranaiba,8.319,15.143,"54,94%",
,MG,315560,Mg-Rio Pardo de Minas,953,29.123,"3,27%",
,MG,315570,Mg-Rio Piracicaba,2.262,15.001,"15,08%",
,MG,315580,Mg-Rio Pomba,3.135,17.856,"17,56%",
,MG,315590,Mg-Rio Preto,361,5.240,"6,89%",
,MG,315600,Mg-Rio Vermelho,499,12.815,"3,89%",
,MG,315610,Mg-Ritapolis,577,5.115,"11,28%",
,MG,315620,Mg-Rochedo de Minas,518,2.363,"21,92%",
,MG,315630,Mg-Rodeiro,4.364,9.064,"48,15%",
,MG,315640,Mg-Romaria,844,3.440,"24,53%",
,MG,315645,Mg-Rosario da Limeira,369,4.896,"7,54%",
,MG,315650,Mg-Rubelita,139,5.572,"2,49%",
,MG,315660,Mg-Rubim,578,10.575,"5,47%",
,MG,315670,Mg-Sabara,19.125,134.286,"14,24%",
,MG,315680,Mg-Sabinopolis,1.267,14.382,"8,81%",
,MG,315690,Mg-Sacramento,9.371,27.891,"33,60%",72
,MG,315700,Mg-Salinas,6.757,41.641,"16,23%",
,MG,315710,Mg-Salto da Divisa,444,6.164,"7,20%",73
,MG,315720,Mg-Santa Barbara,5.532,31.756,"17,42%",
,MG,315725,Mg-Santa Barbara do Leste,467,8.737,"5,35%",
,MG,315727,Mg-Santa Barbara do Monte Verde,279,3.199,"8,72%",
,MG,315730,Mg-Santa Barbara do Tugurio,360,4.262,"8,45%",
,MG,315733,Mg-Santa Cruz de Minas,1.128,8.321,"13,56%",
,MG,315737,Mg-Santa Cruz de Salinas,60,3.944,"1,52%",
,MG,315740,Mg-Santa Cruz do Escalvado,782,4.743,"16,49%",
,MG,315750,Mg-Santa Efigenia de Minas,163,4.067,"4,01%",
,MG,315760,Mg-Santa Fe de Minas,313,3.551,"8,81%",
,MG,315765,Mg-Santa Helena de Minas,47,6.059,"0,78%",
,MG,315770,Mg-Santa Juliana,4.108,16.568,"24,79%",
,MG,315780,Mg-Santa Luzia,29.704,229.483,"12,94%",
,MG,315790,Mg-Santa Margarida,907,16.903,"5,37%",
,MG,315800,Mg-Santa Maria de Itabira,1.694,10.716,"15,81%",
,MG,315810,Mg-Santa Maria do Salto,86,4.803,"1,79%",
,MG,315820,Mg-Santa Maria do Suacui,1.139,12.898,"8,83%",
,MG,315830,Mg-Santana da Vargem,1.726,6.781,"25,45%",
,MG,315840,Mg-Santana de Cataguases,219,3.553,"6,16%",74
,MG,315850,Mg-Santana de Pirapama,338,7.079,"4,77%",
,MG,315860,Mg-Santana do Deserto,290,3.819,"7,59%",
,MG,315870,Mg-Santana do Garambeu,96,2.175,"4,41%",
,MG,315880,Mg-Santana do Jacare,672,4.265,"15,76%",
,MG,315890,Mg-Santana do Manhuacu,651,9.236,"7,05%",
,MG,315895,Mg-Santana do Paraiso,5.854,48.286,"12,12%",
,MG,315900,Mg-Santana do Riacho,843,5.579,"15,11%",
,MG,315910,Mg-Santana dos Montes,303,3.507,"8,64%",
,MG,315920,Mg-Santa Rita de Caldas,1.424,8.588,"16,58%",
,MG,315930,Mg-Santa Rita de Jacutinga,342,4.836,"7,07%",
,MG,315935,Mg-Santa Rita de Minas,837,6.952,"12,04%",
,MG,315940,Mg-Santa Rita do Ibitipoca,321,3.344,"9,60%",
,MG,315950,Mg-Santa Rita do Itueto,297,5.973,"4,97%",
,MG,315960,Mg-Santa Rita do Sapucai,13.065,42.320,"30,87%",
,MG,315970,Mg-Santa Rosa da Serra,191,3.476,"5,49%",
,MG,315980,Mg-Santa Vitoria,4.463,21.745,"20,52%",
,MG,315990,Mg-Santo Antonio do Amparo,2.806,17.651,"15,90%",
,MG,316000,Mg-Santo Antonio do Aventureiro,348,3.881,"8,97%",
,MG,316010,Mg-Santo Antonio do Grama,344,4.342,"7,92%",
,MG,316020,Mg-Santo Antonio do Itambe,105,3.979,"2,64%",
,MG,316030,Mg-Santo Antonio do Jacinto,155,10.397,"1,49%",
,MG,316040,Mg-Santo Antonio do Monte,5.417,28.358,"19,10%",
,MG,316045,Mg-Santo Antonio do Retiro,97,6.743,"1,44%",
,MG,316050,Mg-Santo Antonio do Rio Abaixo,49,1.853,"2,64%",
,MG,316060,Mg-Santo Hipolito,255,2.720,"9,38%",
,MG,316070,Mg-Santos Dumont,5.247,43.392,"12,09%",
,MG,316080,Mg-Sao Bento Abade,326,4.835,"6,74%",
,MG,316090,Mg-Sao Bras do Suacui,656,4.133,"15,87%",
,MG,316095,Mg-Sao Domingos das Dores,467,5.778,"8,08%",
,MG,316100,Mg-Sao Domingos do Prata,1.929,17.771,"10,85%",
,MG,316105,Mg-Sao Felix de Minas,102,3.252,"3,14%",
,MG,316110,Mg-Sao Francisco,3.766,54.239,"6,94%",
,MG,316120,Mg-Sao Francisco de Paula,883,6.293,"14,03%",
,MG,316130,Mg-Sao Francisco de Sales,949,5.857,"16,20%",
,MG,316140,Mg-Sao Francisco do Gloria,308,4.866,"6,33%",
,MG,316150,Mg-Sao Geraldo,2.805,10.517,"26,67%",
,MG,316160,Mg-Sao Geraldo da Piedade,66,3.258,"2,03%",
,MG,316165,Mg-Sao Geraldo do Baixio,135,3.175,"4,25%",
,MG,316170,Mg-Sao Goncalo do Abaete,1.227,7.521,"16,31%",
,MG,316180,Mg-Sao Goncalo do Para,2.042,12.192,"16,75%",
,MG,316190,Mg-Sao Goncalo do Rio Abaixo,5.834,12.353,"47,23%",
,MG,316200,Mg-Sao Goncalo do Sapucai,5.906,24.480,"24,13%",
,MG,316210,Mg-Sao Gotardo,9.450,43.309,"21,82%",
,MG,316220,Mg-Sao Joao Batista do Gloria,1.281,7.912,"16,19%",
,MG,316225,Mg-Sao Joao da Lagoa,133,4.950,"2,69%",
,MG,316230,Mg-Sao Joao da Mata,176,3.000,"5,87%",
,MG,316240,Mg-Sao Joao da Ponte,1.110,24.269,"4,57%",
,MG,316245,Mg-Sao Joao das Missoes,103,13.467,"0,76%",
,MG,316250,Mg-Sao Joao Del Rei,19.703,94.062,"20,95%",
,MG,316255,Mg-Sao Joao do Manhuacu,892,11.614,"7,68%",
,MG,316257,Mg-Sao Joao do Manteninha,635,5.468,"11,61%",
,MG,316260,Mg-Sao Joao do Oriente,364,7.139,"5,10%",
,MG,316265,Mg-Sao Joao do Pacui,43,4.052,"1,06%",
,MG,316270,Mg-Sao Joao do Paraiso,1.562,24.604,"6,35%",
,MG,316280,Mg-Sao Joao Evangelista,1.163,15.617,"7,45%",
,MG,316290,Mg-Sao Joao Nepomuceno,5.326,26.478,"20,11%",
,MG,316292,Mg-Sao Joaquim de Bicas,9.974,36.496,"27,33%",
,MG,316294,Mg-Sao Jose da Barra,1.400,8.084,"17,32%",
,MG,316295,Mg-Sao Jose da Lapa,5.108,27.710,"18,43%",
,MG,316300,Mg-Sao Jose da Safira,211,3.861,"5,46%",
,MG,316310,Mg-Sao Jose da Varginha,754,4.677,"16,12%",
,MG,316320,Mg-Sao Jose do Alegre,260,4.242,"6,13%",
,MG,316330,Mg-Sao Jose do Divino,68,3.501,"1,94%",
,MG,316340,Mg-Sao Jose do Goiabal,444,5.492,"8,08%",
,MG,316350,Mg-Sao Jose do Jacuri,237,6.298,"3,76%",
,MG,316360,Mg-Sao Jose do Mantimento,35,2.834,"1,24%",
,MG,316370,Mg-Sao Lourenco,11.786,46.653,"25,26%",
,MG,316380,Mg-Sao Miguel do Anta,247,6.430,"3,84%",
,MG,316390,Mg-Sao Pedro da Uniao,439,4.979,"8,82%",
,MG,316400,Mg-Sao Pedro dos Ferros,918,7.194,"12,76%",
,MG,316410,Mg-Sao Pedro do Suacui,250,5.166,"4,84%",
,MG,316420,Mg-Sao Romao,590,10.553,"5,59%",
,MG,316430,Mg-Sao Roque de Minas,1.472,7.341,"20,05%",
,MG,316440,Mg-Sao Sebastiao da Bela Vista,1.997,6.694,"29,83%",
,MG,316443,Mg-Sao Sebastiao da Vargem Alegre,68,3.219,"2,11%",
,MG,316447,Mg-Sao Sebastiao do Anta,293,6.386,"4,59%",
,MG,316450,Mg-Sao Sebastiao do Maranhao,191,10.244,"1,86%",
,MG,316460,Mg-Sao Sebastiao do Oeste,4.271,9.355,"45,65%",
,MG,316470,Mg-Sao Sebastiao do Paraiso,19.782,74.742,"26,47%",
,MG,316480,Mg-Sao Sebastiao do Rio Preto,33,1.248,"2,64%",
,MG,316490,Mg-Sao Sebastiao do Rio Verde,278,2.373,"11,72%",
,MG,316500,Mg-Sao Tiago,1.850,11.517,"16,06%",
,MG,316510,Mg-Sao Tomas de Aquino,1.296,6.853,"18,91%",
,MG,316520,Mg-Sao Tome das Letras,1.267,7.089,"17,87%",
,MG,316530,Mg-Sao Vicente de Minas,1.650,6.935,"23,79%",
,MG,316540,Mg-Sapucai-Mirim,1.288,6.462,"19,93%",
,MG,316550,Mg-Sardoa,353,5.164,"6,84%",
,MG,316553,Mg-Sarzedo,9.349,39.327,"23,77%",
,MG,316555,Mg-Setubinha,191,10.032,"1,90%",
,MG,316556,Mg-Sem-Peixe,113,2.441,"4,63%",
,MG,316557,Mg-Senador Amaral,885,6.458,"13,70%",
,MG,316560,Mg-Senador Cortes,299,2.319,"12,89%",
,MG,316570,Mg-Senador Firmino,857,7.945,"10,79%",
,MG,316580,Mg-Senador Jose Bento,110,2.137,"5,15%",
,MG,316590,Mg-Senador Modestino Goncalves,199,4.035,"4,93%",
,MG,316600,Mg-Senhora de Oliveira,272,5.584,"4,87%",
,MG,316610,Mg-Senhora do Porto,110,3.088,"3,56%",
,MG,316620,Mg-Senhora dos Remedios,490,10.640,"4,61%",
,MG,316630,Mg-Sericita,531,7.536,"7,05%",
,MG,316640,Mg-Seritinga,207,1.864,"11,11%",
,MG,316650,Mg-Serra Azul de Minas,83,3.829,"2,17%",
,MG,316660,Mg-Serra da Saudade,78,854,"9,13%",
,MG,316670,Mg-Serra dos Aimores,1.330,6.936,"19,18%",
,MG,316680,Mg-Serra do Salitre,4.620,12.210,"37,84%",
,MG,316690,Mg-Serrania,987,7.802,"12,65%",
,MG,316695,Mg-Serranopolis de Minas,96,4.496,"2,14%",
,MG,316700,Mg-Serranos,357,2.035,"17,54%",
,MG,316710,Mg-Serro,1.712,22.550,"7,59%",
,MG,316720,Mg-Sete Lagoas,67.959,237.931,"28,56%",
,MG,316730,Mg-Silveirania,151,2.391,"6,32%",
,MG,316740,Mg-Silvianopolis,648,6.336,"10,23%",
,MG,316750,Mg-Simao Pereira,364,3.060,"11,90%",
,MG,316760,Mg-Simonesia,907,20.339,"4,46%",
,MG,316770,Mg-Sobralia,168,5.175,"3,25%",
,MG,316780,Mg-Soledade de Minas,531,5.733,"9,26%",
,MG,316790,Mg-Tabuleiro,420,4.098,"10,25%",
,MG,316800,Mg-Taiobeiras,4.531,34.392,"13,17%",
,MG,316805,Mg-Taparuba,116,3.492,"3,32%",
,MG,316810,Mg-Tapira,2.341,4.212,"55,58%",
,MG,316820,Mg-Tapirai,303,1.707,"17,75%",
,MG,316830,Mg-Taquaracu de Minas,247,4.368,"5,65%",
,MG,316840,Mg-Tarumirim,1.123,15.072,"7,45%",
,MG,316850,Mg-Teixeiras,1.035,12.634,"8,19%",
,MG,316860,Mg-Teofilo Otoni,29.561,142.571,"20,73%",
,MG,316870,Mg-Timoteo,17.428,84.087,"20,73%",
,MG,316880,Mg-Tiradentes,2.577,8.008,"32,18%",
,MG,316890,Mg-Tiros,1.354,8.172,"16,57%",
,MG,316900,Mg-Tocantins,2.686,16.574,"16,21%",
,MG,316905,Mg-Tocos do Moji,124,3.899,"3,18%",
,MG,316910,Mg-Toledo,467,7.541,"6,19%",75
,MG,316920,Mg-Tombos,603,8.699,"6,93%",
,MG,316930,Mg-Tres Coracoes,16.870,78.079,"21,61%",
,MG,316935,Mg-Tres Marias,6.189,29.927,"20,68%",
,MG,316940,Mg-Tres Pontas,15.517,57.086,"27,18%",
,MG,316950,Mg-Tumiritinga,287,5.973,"4,80%",
,MG,316960,Mg-Tupaciguara,5.625,26.482,"21,24%",
,MG,316970,Mg-Turmalina,3.776,20.650,"18,29%",
,MG,316980,Mg-Turvolandia,687,5.078,"13,53%",
,MG,316990,Mg-Uba,29.440,107.222,"27,46%",
,MG,317000,Mg-Ubai,251,11.977,"2,10%",
,MG,317005,Mg-Ubaporanga,927,13.423,"6,91%",
,MG,317010,Mg-Uberaba,96.882,354.142,"27,36%",
,MG,317020,Mg-Uberlandia,233.937,754.954,"30,99%",
,MG,317030,Mg-Umburatiba,119,2.742,"4,34%",
,MG,317040,Mg-Unai,19.442,90.724,"21,43%",
,MG,317043,Mg-Uniao de Minas,903,3.848,"23,47%",
,MG,317047,Mg-Uruana de Minas,227,3.360,"6,76%",
,MG,317050,Mg-Urucania,3.154,10.875,"29,00%",
,MG,317052,Mg-Urucuia,480,18.291,"2,62%",
,MG,317057,Mg-Vargem Alegre,386,5.834,"6,62%",
,MG,317060,Mg-Vargem Bonita,244,2.206,"11,06%",
,MG,317065,Mg-Vargem Grande do Rio Pardo,352,4.727,"7,45%",
,MG,317070,Mg-Varginha,47.139,142.802,"33,01%",
,MG,317075,Mg-Varjao de Minas,1.227,7.243,"16,94%",
,MG,317080,Mg-Varzea da Palma,6.318,34.639,"18,24%",
,MG,317090,Mg-Varzelandia,432,19.214,"2,25%",
,MG,317100,Mg-Vazante,5.317,20.433,"26,02%",
,MG,317103,Mg-Verdelandia,682,7.770,"8,78%",
,MG,317107,Mg-Veredinha,754,5.257,"14,34%",
,MG,317110,Mg-Verissimo,383,3.480,"11,01%",
,MG,317115,Mg-Vermelho Novo,139,5.034,"2,76%",
,MG,317120,Mg-Vespasiano,19.002,136.826,"13,89%",
,MG,317130,Mg-Vicosa,18.155,79.221,"22,92%",
,MG,317140,Mg-Vieiras,188,3.780,"4,97%",
,MG,317150,Mg-Mathias Lobato,655,3.069,"21,34%",
,MG,317160,Mg-Virgem da Lapa,1.714,11.867,"14,44%",
,MG,317170,Mg-Virginia,1.384,9.142,"15,14%",
,MG,317180,Mg-Virginopolis,830,10.519,"7,89%",
,MG,317190,Mg-Virgolandia,102,4.530,"2,25%",
,MG,317200,Mg-Visconde do Rio Branco,11.766,40.608,"28,97%",
,MG,317210,Mg-Volta Grande,780,4.473,"17,44%",
,MG,317220,Mg-Wenceslau Braz,208,2.387,"8,71%",
,ES,320010,Es-Afonso Claudio,2.692,32.446,"8,30%",
,ES,320013,Es-Aguia Branca,881,10.124,"8,70%",
,ES,320016,Es-Agua Doce do Norte,660,12.559,"5,26%",
,ES,320020,Es-Alegre,2.840,30.744,"9,24%",
,ES,320030,Es-Alfredo Chaves,3.295,14.373,"22,92%",
,ES,320035,Es-Alto Rio Novo,327,7.747,"4,22%",
,ES,320040,Es-Anchieta,5.947,32.584,"18,25%",
,ES,320050,Es-Apiaca,386,7.474,"5,16%",
,ES,320060,Es-Aracruz,32.819,102.410,"32,05%",
,ES,320070,Es-Atilio Vivacqua,2.870,11.013,"26,06%",
,ES,320080,Es-Baixo Guandu,4.292,32.694,"13,13%",
,ES,320090,Es-Barra de Sao Francisco,6.832,45.250,"15,10%",
,ES,320100,Es-Boa Esperanca,1.650,14.079,"11,72%",
,ES,320110,Es-Bom Jesus do Norte,1.187,10.764,"11,03%",
,ES,320115,Es-Brejetuba,915,13.642,"6,71%",
,ES,320120,Es-Cachoeiro de Itapemirim,48.564,198.323,"24,49%",
,ES,320130,Es-Cariacica,61.182,375.485,"16,29%",
,ES,320140,Es-Castelo,7.473,39.396,"18,97%",
,ES,320150,Es-Colatina,31.827,128.622,"24,74%",76
,ES,320160,Es-Conceicao da Barra,3.614,28.953,"12,48%",
,ES,320170,Es-Conceicao do Castelo,1.248,12.448,"10,03%",
,ES,320180,Es-Divino de Sao Lourenco,300,5.359,"5,60%",
,ES,320190,Es-Domingos Martins,6.186,37.972,"16,29%",
,ES,320200,Es-Dores do Rio Preto,626,6.885,"9,09%",
,ES,320210,Es-Ecoporanga,1.952,22.670,"8,61%",
,ES,320220,Es-Fundao,3.197,18.824,"16,98%",
,ES,320225,Es-Governador Lindenberg,786,11.467,"6,85%",
,ES,320230,Es-Guacui,3.824,31.290,"12,22%",
,ES,320240,Es-Guarapari,23.686,134.944,"17,55%",
,ES,320245,Es-Ibatiba,2.247,27.308,"8,23%",
,ES,320250,Es-Ibiracu,2.998,12.261,"24,45%",
,ES,320255,Es-Ibitirama,452,9.973,"4,53%",
,ES,320260,Es-Iconha,3.686,12.793,"28,81%",
,ES,320265,Es-Irupi,746,14.513,"5,14%",
