"Brasil, Unidade da Federação e Município",,cód ibge 6,Total 2010,Alfabetizadas 2010,Não alfabetizadas 2010,% não alfab,Total 2022,Alfabetizadas 2022,Não alfabetizadas,% não alfab 2022,Queda 2022 x 2010,
Liberdade/MG,MG,313850,4242,3609,633,"14,92%",4083,3643,440,"10,78%","27,78%",
Silvianópolis/MG,MG,316740,4798,4233,565,"11,78%",5176,4618,558,"10,78%","8,45%",
Curvelândia/MT,MT,510343,3643,3092,551,"15,12%",3923,3500,423,"10,78%","28,71%",
Governador Jorge Teixeira/RO,RO,110100,7542,6526,1016,"13,47%",6290,5611,679,"10,79%","19,87%",
Belmiro Braga/MG,MG,310610,2631,2294,337,"12,81%",2696,2405,291,"10,79%","15,73%",
Santa Mônica/PR,PR,412395,2673,2329,344,"12,87%",2642,2357,285,"10,79%","16,18%",
Doverlândia/GO,GO,520725,6070,5158,912,"15,02%",5683,5070,613,"10,79%","28,21%",
Ulianópolis/PA,PA,150812,28488,24215,4273,"15,00%",29205,26050,3155,"10,80%","27,98%",
Ilha de Itamaracá/PE,PE,260760,16853,14267,2586,"15,34%",19730,17599,2131,"10,80%","29,61%",
Divinolândia de Minas/MG,MG,312220,5190,4469,721,"13,89%",5195,4634,561,"10,80%","22,27%",
Antônio João/MS,MS,500090,5620,4864,756,"13,45%",6914,6167,747,"10,80%","19,68%",
Nova Olímpia/MT,MT,510623,12330,10740,1590,"12,90%",12538,11184,1354,"10,80%","16,26%",
Caruaru/PE,PE,260410,236846,199945,36901,"15,58%",299009,266677,32332,"10,81%","30,60%",
Braúnas/MG,MG,310880,3876,3159,717,"18,50%",3738,3334,404,"10,81%","41,57%",
Alenquer/PA,PA,150040,32854,27730,5124,"15,60%",48385,43151,5234,"10,82%","30,64%",
Nanuque/MG,MG,314430,31107,26279,4828,"15,52%",28310,25247,3063,"10,82%","30,29%",
São Domingos das Dores/MG,MG,316095,3947,3443,504,"12,77%",4475,3991,484,"10,82%","15,30%",
Braganey/PR,PR,410335,4408,3823,585,"13,27%",3991,3559,432,"10,82%","18,44%",
Seabra/BA,BA,292990,29790,24995,4795,"16,10%",36224,32302,3922,"10,83%","32,73%",
Maranguape/CE,CE,230770,83204,70395,12809,"15,39%",83583,74524,9059,"10,84%","29,60%",
Monte Negro/RO,RO,110140,9834,8404,1430,"14,54%",9112,8123,989,"10,85%","25,36%",
Diamante D'Oeste/PR,PR,410715,3720,3096,624,"16,77%",3594,3204,390,"10,85%","35,31%",
Iguatu/PR,PR,411005,1731,1523,208,"12,02%",1797,1602,195,"10,85%","9,69%",
Brasilândia do Sul/PR,PR,410337,2551,2157,394,"15,44%",2992,2667,325,"10,86%","29,67%",
São Sebastião do Passé/BA,BA,292950,31812,27430,4382,"13,77%",32939,29358,3581,"10,87%","21,08%",
Glória D'Oeste/MT,MT,510395,2402,2086,316,"13,16%",2356,2100,256,"10,87%","17,41%",
Itaubal/AP,AP,160025,2559,2200,359,"14,03%",3711,3307,404,"10,89%","22,40%",
Juazeiro do Norte/CE,CE,230730,183085,153408,29677,"16,21%",224882,200383,24499,"10,89%","32,79%",
Piranga/MG,MG,315080,12923,11420,1503,"11,63%",14064,12533,1531,"10,89%","6,40%",
Heitoraí/GO,GO,520960,2782,2416,366,"13,16%",2810,2504,306,"10,89%","17,23%",
Aurilândia/GO,GO,520260,3033,2569,464,"15,30%",2798,2493,305,"10,90%","28,75%",
Lajinha/MG,MG,313770,14761,12233,2528,"17,13%",16488,14689,1799,"10,91%","36,29%",
Damolândia/GO,GO,520680,2193,1909,284,"12,95%",2309,2057,252,"10,91%","15,73%",
Itapetinga/BA,BA,291640,51063,43449,7614,"14,91%",52384,46666,5718,"10,92%","26,80%",
Mirante da Serra/RO,RO,110130,8541,7387,1154,"13,51%",7410,6600,810,"10,93%","19,10%",
Torixoréu/MT,MT,510820,3263,2848,415,"12,72%",3466,3087,379,"10,93%","14,02%",
Água Fria de Goiás/GO,GO,520017,3729,3175,554,"14,86%",3915,3487,428,"10,93%","26,41%",
Fortaleza dos Nogueiras/MA,MA,210410,7947,6680,1267,"15,94%",9559,8513,1046,"10,94%","31,36%",
Carmésia/MG,MG,311380,1810,1535,275,"15,19%",2011,1791,220,"10,94%","28,00%",
Irupi/ES,ES,320265,8659,7026,1633,"18,86%",10833,9648,1185,"10,94%","42,00%",
Porto Franco/MA,MA,210900,15126,12796,2330,"15,40%",18147,16160,1987,"10,95%","28,92%",
Salto do Itararé/PR,PR,412290,4101,3489,612,"14,92%",4238,3774,464,"10,95%","26,63%",
Aloândia/GO,GO,520050,1668,1419,249,"14,93%",1671,1488,183,"10,95%","26,64%",
Tumiritinga/MG,MG,316950,4515,3727,788,"17,45%",4689,4175,514,"10,96%","37,19%",
Entre Folhas/MG,MG,312385,3971,3404,567,"14,28%",4222,3759,463,"10,97%","23,20%",
Cafeara/PR,PR,410340,2125,1794,331,"15,58%",2169,1931,238,"10,97%","29,56%",
Portelândia/GO,GO,521810,2918,2516,402,"13,78%",2643,2353,290,"10,97%","20,35%",
Cairu/BA,BA,290540,11053,9328,1725,"15,61%",13652,12153,1499,"10,98%","29,64%",
São Sebastião do Alto/RJ,RJ,330530,7033,6014,1019,"14,49%",6346,5649,697,"10,98%","24,19%",89
Trajano de Moraes/RJ,RJ,330590,8046,6876,1170,"14,54%",8503,7569,934,"10,98%","24,46%",90
Brasiléia/AC,AC,120010,14569,11932,2637,"18,10%",19134,17032,2102,"10,99%","39,31%",
São Félix do Xingu/PA,PA,150730,64233,56789,7444,"11,59%",48593,43252,5341,"10,99%","5,16%",
Ibertioga/MG,MG,312940,3920,3375,545,"13,90%",4314,3840,474,"10,99%","20,97%",
Cardoso Moreira/RJ,RJ,330115,9962,8448,1514,"15,20%",10573,9411,1162,"10,99%","27,68%",91
Guaporema/PR,PR,410910,1747,1534,213,"12,19%",1818,1618,200,"11,00%","9,77%",
São Francisco de Goiás/GO,GO,521990,4687,3991,696,"14,85%",5136,4571,565,"11,00%","25,92%",
Ministro Andreazza/RO,RO,110120,7417,6477,940,"12,67%",5248,4670,578,"11,01%","13,10%",
Brasília de Minas/MG,MG,310860,23335,19769,3566,"15,28%",25760,22925,2835,"11,01%","27,98%",
Salto do Céu/MT,MT,510775,2952,2503,449,"15,21%",2942,2618,324,"11,01%","27,59%",
Santa Rita do Tocantins/TO,TO,171889,1488,1265,223,"14,99%",1743,1551,192,"11,02%","26,50%",
Martins Soares/MG,MG,314053,5337,4505,832,"15,59%",6627,5897,730,"11,02%","29,34%",
Manacapuru/AM,AM,130250,53753,45379,8374,"15,58%",72649,64636,8013,"11,03%","29,20%",
Dom Eliseu/PA,PA,150293,34420,28337,6083,"17,67%",43094,38339,4755,"11,03%","37,57%",
Aparecida do Rio Negro/TO,TO,170110,2934,2496,438,"14,93%",3707,3298,409,"11,03%","26,09%",
Dom Joaquim/MG,MG,312260,3394,2829,565,"16,65%",3981,3542,439,"11,03%","33,76%",
Mesópolis/SP,SP,352965,1490,1287,203,"13,62%",1586,1411,175,"11,03%","19,01%",
Abatiá/PR,PR,410010,6097,5075,1022,"16,76%",5857,5211,646,"11,03%","34,20%",
Orizânia/MG,MG,314587,5308,4457,851,"16,03%",6638,5905,733,"11,04%","31,12%",
São José das Palmeiras/PR,PR,412545,2970,2550,420,"14,14%",3124,2779,345,"11,04%","21,91%",
Guimarães/MA,MA,210490,8655,7288,1367,"15,79%",8136,7237,899,"11,05%","30,04%",
Ichu/BA,BA,291330,3976,3410,566,"14,24%",5031,4475,556,"11,05%","22,37%",
Cristalândia/TO,TO,170610,5315,4645,670,"12,61%",5089,4526,563,"11,06%","12,24%",
Santa Rosa da Serra/MG,MG,315970,2450,2144,306,"12,49%",2739,2436,303,"11,06%","11,43%",
Campinaçu/GO,GO,520465,2781,2411,370,"13,30%",2983,2653,330,"11,06%","16,85%",
Cipotânea/MG,MG,311630,5119,4462,657,"12,83%",4662,4146,516,"11,07%","13,76%",
São Miguel do Anta/MG,MG,316380,5350,4444,906,"16,93%",5314,4726,588,"11,07%","34,66%",
Caicó/RN,RN,240200,48972,41459,7513,"15,34%",50737,45117,5620,"11,08%","27,80%",
Santo Antônio do Caiuá/PR,PR,412420,2141,1863,278,"12,98%",2057,1829,228,"11,08%","14,64%",
Araguaçu/TO,TO,170200,6643,5681,962,"14,48%",6543,5816,727,"11,11%","23,27%",
Borba/AM,AM,130080,21102,17768,3334,"15,80%",22604,20091,2513,"11,12%","29,63%",1
São José do Seridó/RN,RN,241240,3322,2783,539,"16,23%",3722,3308,414,"11,12%","31,45%",2
Aral Moreira/MS,MS,500124,6821,5847,974,"14,28%",7726,6867,859,"11,12%","22,14%",3
Poconé/MT,MT,510650,23123,18992,4131,"17,87%",24196,21506,2690,"11,12%","37,77%",4
Araçu/GO,GO,520160,3032,2540,492,"16,23%",3184,2830,354,"11,12%","31,48%",5
São Francisco do Glória/MG,MG,316140,4019,3405,614,"15,28%",3997,3552,445,"11,13%","27,13%",6
Santa Terezinha/MT,MT,510777,5034,4265,769,"15,28%",5437,4832,605,"11,13%","27,16%",7
Brasil Novo/PA,PA,150172,10953,9000,1953,"17,83%",18639,16562,2077,"11,14%","37,51%",8
Bandeirantes do Tocantins/TO,TO,170305,2148,1770,378,"17,60%",2603,2313,290,"11,14%","36,69%",9
Santo Antônio do Rio Abaixo/MG,MG,316050,1361,1108,253,"18,59%",1508,1340,168,"11,14%","40,07%",10
Monte Alegre/PA,PA,150480,36908,31639,5269,"14,28%",44864,39859,5005,"11,16%","21,86%",11
Bocaina de Minas/MG,MG,310720,3991,3286,705,"17,66%",4535,4029,506,"11,16%","36,84%",12
Gurinhatã/MG,MG,312910,4902,4174,728,"14,85%",4391,3901,490,"11,16%","24,86%",13
Pedra Bonita/MG,MG,314875,4711,4016,695,"14,75%",5746,5105,641,"11,16%","24,38%",14
Santa Terezinha de Goiás/GO,GO,521970,8002,6850,1152,"14,40%",8667,7700,967,"11,16%","22,50%",15
Varjão/GO,GO,522190,2863,2422,441,"15,40%",3083,2739,344,"11,16%","27,56%",
Estrela Dalva/MG,MG,312460,1967,1646,321,"16,32%",1835,1630,205,"11,17%","31,54%",16
Barra do Mendes/BA,BA,290300,10191,8688,1503,"14,75%",11193,9942,1251,"11,18%","24,22%",17
Ribeirão do Pinhal/PR,PR,412190,10317,8730,1587,"15,38%",10536,9358,1178,"11,18%","27,31%",18
Santa Cruz Cabrália/BA,BA,292770,18013,15166,2847,"15,81%",22368,19865,2503,"11,19%","29,20%",19
Juscimeira/MT,MT,510520,8747,7452,1295,"14,81%",9104,8084,1020,"11,20%","24,32%",20
Jacareacanga/PA,PA,150375,9296,6748,2548,"27,41%",15001,13319,1682,"11,21%","59,09%",21
Tartarugalzinho/AP,AP,160070,7412,6174,1238,"16,70%",8491,7539,952,"11,21%","32,87%",22
Epitaciolândia/AC,AC,120025,10303,8623,1680,"16,31%",13824,12273,1551,"11,22%","31,19%",23
Silvanópolis/TO,TO,172065,3639,2999,640,"17,59%",3860,3427,433,"11,22%","36,22%",24
Tabuleiro/MG,MG,316790,3252,2837,415,"12,76%",3388,3008,380,"11,22%","12,11%",25
Jardim Alegre/PR,PR,411250,9622,8167,1455,"15,12%",9868,8761,1107,"11,22%","25,81%",26
Saubara/BA,BA,292975,8498,7260,1238,"14,57%",9260,8220,1040,"11,23%","22,91%",27
Taquarussu/MS,MS,500797,2667,2241,426,"15,97%",2921,2593,328,"11,23%","29,70%",28
Ervália/MG,MG,312400,13848,11767,2081,"15,03%",16729,14849,1880,"11,24%","25,22%",29
Santana do Itararé/PR,PR,412400,4001,3357,644,"16,10%",4493,3988,505,"11,24%","30,17%",30
Dom Aquino/MT,MT,510360,6258,5381,877,"14,01%",6265,5561,704,"11,24%","19,82%",31
Novo Planalto/GO,GO,521525,2992,2435,557,"18,62%",2998,2661,337,"11,24%","39,62%",32
Palestina de Goiás/GO,GO,521565,2698,2449,249,"9,23%",2562,2274,288,"11,24%","-21,80%",33
Humaitá/AM,AM,130170,28537,23705,4832,"16,93%",41173,36538,4635,"11,26%","33,52%",34
Buritizeiro/MG,MG,310940,19238,16582,2656,"13,81%",18715,16607,2108,"11,26%","18,41%",35
Itaporã do Tocantins/TO,TO,171110,1763,1431,332,"18,83%",1881,1669,212,"11,27%","40,15%",36
Presidente Kennedy/TO,TO,171840,2624,2195,429,"16,35%",2422,2149,273,"11,27%","31,06%",37
Dores do Rio Preto/ES,ES,320200,4810,3964,846,"17,59%",5332,4731,601,"11,27%","35,91%",38
Conceição da Barra/ES,ES,320160,20513,17390,3123,"15,22%",21392,18980,2412,"11,28%","25,94%",39
Carnaúba dos Dantas/RN,RN,240240,5670,4855,815,"14,37%",6402,5679,723,"11,29%","21,43%",40
Cerro Grande/RS,RS,430515,1895,1629,266,"14,04%",1958,1737,221,"11,29%","19,59%",41
Dueré/TO,TO,170730,3355,2935,420,"12,52%",3385,3002,383,"11,31%","9,62%",42
Sandolândia/TO,TO,171884,2448,2042,406,"16,58%",2883,2557,326,"11,31%","31,82%",43
São João da Lagoa/MG,MG,316225,3520,2974,546,"15,51%",3854,3418,436,"11,31%","27,07%",44
Oliveira de Fátima/TO,TO,171550,716,596,120,"16,76%",856,759,97,"11,33%","32,39%",45
São Francisco do Pará/PA,PA,150740,10707,9003,1704,"15,91%",11574,10262,1312,"11,34%","28,77%",46
Urucânia/MG,MG,317050,7732,6567,1165,"15,07%",8587,7612,975,"11,35%","24,64%",47
Matrinchã/GO,GO,521295,3375,2783,592,"17,54%",3339,2960,379,"11,35%","35,29%",48
Tomé-Açu/PA,PA,150800,36796,30882,5914,"16,07%",48172,42696,5476,"11,37%","29,27%",49
Tailândia/PA,PA,150795,51654,44668,6986,"13,52%",51969,46054,5915,"11,38%","15,84%",50
Denise/MT,MT,510345,6057,5196,861,"14,21%",5420,4803,617,"11,38%","19,92%",51
Horizonte/CE,CE,230523,40077,33805,6272,"15,65%",57848,51261,6587,"11,39%","27,24%",52
Conceição da Feira/BA,BA,290820,15069,12650,2419,"16,05%",16593,14703,1890,"11,39%","29,04%",53
Oratórios/MG,MG,314585,3432,2889,543,"15,82%",3969,3517,452,"11,39%","28,02%",54
São João Evangelista/MG,MG,316280,11574,9674,1900,"16,42%",12339,10934,1405,"11,39%","30,64%",55
Alto Paraíso/PR,PR,412862,2449,2090,359,"14,66%",2414,2139,275,"11,39%","22,29%",56
São José do Povo/MT,MT,510729,2845,2419,426,"14,97%",2380,2109,271,"11,39%","23,96%",57
Mansidão/BA,BA,292045,8867,7311,1556,"17,55%",11081,9818,1263,"11,40%","35,05%",58
Iracema do Oeste/PR,PR,411065,2051,1730,321,"15,65%",1938,1717,221,"11,40%","27,14%",59
Manaquiri/AM,AM,130255,14164,12658,1506,"10,63%",12106,10724,1382,"11,42%","-7,37%",60
Cedro do Abaeté/MG,MG,311560,946,812,134,"14,16%",928,822,106,"11,42%","19,36%",61
Divino/MG,MG,312200,14226,12231,1995,"14,02%",16644,14744,1900,"11,42%","18,60%",62
Cezarina/GO,GO,520545,5814,5173,641,"11,03%",6561,5811,750,"11,43%","-3,68%",63
Prainha/PA,PA,150600,17690,14611,3079,"17,41%",24961,22105,2856,"11,44%","34,26%",64
Americano do Brasil/GO,GO,520085,4259,3590,669,"15,71%",4407,3903,504,"11,44%","27,19%",65
Cumari/GO,GO,520660,2367,2158,209,"8,83%",2422,2145,277,"11,44%","-29,53%",66
Nova Glória/GO,GO,521486,6711,5693,1018,"15,17%",6950,6155,795,"11,44%","24,59%",67
Talismã/TO,TO,172097,1874,1524,350,"18,68%",1947,1724,223,"11,45%","38,67%",68
Fontoura Xavier/RS,RS,430830,8078,6707,1371,"16,97%",7901,6996,905,"11,45%","32,51%",69
Alvorada D'Oeste/RO,RO,110034,12356,10757,1599,"12,94%",10505,9300,1205,"11,47%","11,36%",70
Bujaru/PA,PA,150190,16286,13913,2373,"14,57%",17728,15693,2035,"11,48%","21,22%",71
Itacambira/MG,MG,313200,3751,3149,602,"16,05%",3509,3106,403,"11,48%","28,44%",72
Serranos/MG,MG,316700,1550,1290,260,"16,77%",1664,1473,191,"11,48%","31,57%",73
Estreito/MA,MA,210405,25304,21464,3840,"15,18%",24908,22047,2861,"11,49%","24,31%",74
Lidianópolis/PR,PR,411342,3212,2640,572,"17,81%",3238,2866,372,"11,49%","35,49%",75
Barro Alto/BA,BA,290323,9822,8033,1789,"18,21%",10761,9523,1238,"11,50%","36,84%",76
Durandé/MG,MG,312352,5383,4422,961,"17,85%",6180,5469,711,"11,50%","35,56%",77
São Luiz do Norte/GO,GO,522015,3430,2855,575,"16,76%",3817,3378,439,"11,50%","31,39%",78
Rio Branco/MT,MT,510720,3942,3379,563,"14,28%",3596,3182,414,"11,51%","19,39%",79
Iraquara/BA,BA,291440,15812,13010,2802,"17,72%",18555,16417,2138,"11,52%","34,98%",80
Mantena/MG,MG,313960,20921,17692,3229,"15,43%",21575,19090,2485,"11,52%","25,37%",81
Combinado/TO,TO,170555,3346,2734,612,"18,29%",3757,3324,433,"11,53%","36,99%",82
Vale de São Domingos/MT,MT,510835,2265,1948,317,"14,00%",2281,2018,263,"11,53%","17,62%",83
Santo Afonso/MT,MT,510726,2259,1875,384,"17,00%",1959,1733,226,"11,54%","32,13%",84
Santana do Manhuaçu/MG,MG,315890,6315,5206,1109,"17,56%",7163,6336,827,"11,55%","34,26%",85
Ourilândia do Norte/PA,PA,150543,18712,16362,2350,"12,56%",23445,20732,2713,"11,57%","7,86%",86
Barros Cassal/RS,RS,430200,8289,7034,1255,"15,14%",7675,6787,888,"11,57%","23,58%",87
Niquelândia/GO,GO,521460,31720,27788,3932,"12,40%",28585,25279,3306,"11,57%","6,70%",88
Inajá/PR,PR,411030,2311,1980,331,"14,32%",2056,1818,238,"11,58%","19,18%",89
Avelinópolis/GO,GO,520280,1930,1669,261,"13,52%",2407,2128,279,"11,59%","14,29%",90
Itaguaru/GO,GO,521060,4378,3762,616,"14,07%",4203,3716,487,"11,59%","17,65%",91
Santa Rosa de Goiás/GO,GO,521950,2341,1988,353,"15,08%",2373,2098,275,"11,59%","23,15%",
Crato/CE,CE,230420,90313,76802,13511,"14,96%",103415,91423,11992,"11,60%","22,49%",
Piedade de Caratinga/MG,MG,315015,5158,4247,911,"17,66%",6786,5999,787,"11,60%","34,34%",
Apiacás/MT,MT,510080,6182,5353,829,"13,41%",6476,5725,751,"11,60%","13,52%",
Bias Fortes/MG,MG,310680,2984,2535,449,"15,05%",2817,2490,327,"11,61%","22,85%",
Januária/MG,MG,313520,47170,38984,8186,"17,35%",50521,44655,5866,"11,61%","33,09%",
Amaralina/GO,GO,520082,2608,2194,414,"15,87%",2696,2383,313,"11,61%","26,86%",
Theobroma/RO,RO,110160,7619,6466,1153,"15,13%",6455,5705,750,"11,62%","23,22%",
Palmeirópolis/TO,TO,171575,5430,4709,721,"13,28%",5568,4921,647,"11,62%","12,49%",
Mara Rosa/GO,GO,521280,8185,6899,1286,"15,71%",8707,7695,1012,"11,62%","26,02%",
Campo Bonito/PR,PR,410405,3280,2851,429,"13,08%",3251,2873,378,"11,63%","11,10%",
Estrela do Norte/GO,GO,520750,2590,2186,404,"15,60%",2597,2295,302,"11,63%","25,45%",
Euclides da Cunha Paulista/SP,SP,351535,7142,6158,984,"13,78%",6384,5641,743,"11,64%","15,53%",
Galvão/SC,SC,420560,2676,2294,382,"14,28%",2586,2285,301,"11,64%","18,46%",
Vale do Anari/RO,RO,110175,6629,5630,999,"15,07%",6077,5369,708,"11,65%","22,69%",
Acrelândia/AC,AC,120001,8246,6956,1290,"15,64%",10180,8994,1186,"11,65%","25,53%",
São Miguel do Guamá/PA,PA,150760,34417,28569,5848,"16,99%",39363,34779,4584,"11,65%","31,46%",
Canaã/MG,MG,311170,3699,3158,541,"14,63%",3922,3465,457,"11,65%","20,33%",
Piedade de Ponte Nova/MG,MG,315020,3074,2585,489,"15,91%",3190,2818,372,"11,66%","26,69%",
Simonésia/MG,MG,316760,13501,11207,2294,"16,99%",15468,13664,1804,"11,66%","31,36%",
Querência do Norte/PR,PR,412100,8886,7521,1365,"15,36%",8412,7431,981,"11,66%","24,08%",
Água Azul do Norte/PA,PA,150034,18145,16010,2135,"11,77%",13197,11655,1542,"11,68%","0,70%",
São Félix do Tocantins/TO,TO,172015,896,714,182,"20,31%",1284,1134,150,"11,68%","42,49%",
Timon/MA,MA,211220,110377,91322,19055,"17,26%",133144,117599,15545,"11,68%","32,37%",
Aracitaba/MG,MG,310330,1674,1463,211,"12,60%",1754,1549,205,"11,69%","7,27%",
Figueirópolis/TO,TO,170765,3995,3319,676,"16,92%",4162,3675,487,"11,70%","30,85%",
Colinas do Sul/GO,GO,520552,2518,2117,401,"15,93%",3091,2729,362,"11,71%","26,46%",
Santa Tereza de Goiás/GO,GO,521960,3016,2588,428,"14,19%",2715,2397,318,"11,71%","17,46%",
Santarém Novo/PA,PA,150690,4047,3351,696,"17,20%",4720,4167,553,"11,72%","31,87%",
Itapissuma/PE,PE,260775,17305,14098,3207,"18,53%",22345,19724,2621,"11,73%","36,71%",
Ortigueira/PR,PR,411730,17133,13993,3140,"18,33%",18871,16657,2214,"11,73%","35,98%",
Cerro Negro/SC,SC,420417,2697,2238,459,"17,02%",2694,2378,316,"11,73%","31,08%",
Flor do Sertão/SC,SC,420535,1253,1103,150,"11,97%",1466,1294,172,"11,73%","1,99%",
Parnaíba/PI,PI,220770,108941,90999,17942,"16,47%",129188,114020,15168,"11,74%","28,71%",
São José do Norte/RS,RS,431850,20089,16608,3481,"17,33%",21135,18654,2481,"11,74%","32,25%",
Maurilândia/GO,GO,521300,8402,7146,1256,"14,95%",8057,7111,946,"11,74%","21,46%",
Sumidouro/RJ,RJ,330570,11633,9772,1861,"16,00%",12319,10872,1447,"11,75%","26,58%",92
Espigão Alto do Iguaçu/PR,PR,410754,3389,2913,476,"14,05%",3695,3261,434,"11,75%","16,37%",
Santa Cruz do Capibaribe/PE,PE,261250,64222,53938,10284,"16,01%",76067,67119,8948,"11,76%","26,54%",
Brotas de Macaúbas/BA,BA,290450,7854,6187,1667,"21,22%",9437,8327,1110,"11,76%","44,58%",
São Lourenço da Mata/PE,PE,261370,77261,64934,12327,"15,96%",88241,77857,10384,"11,77%","26,24%",
Colméia/TO,TO,171670,6379,5169,1210,"18,97%",7130,6290,840,"11,78%","37,89%",
Pinheiros/ES,ES,320410,17837,14767,3070,"17,21%",18786,16573,2213,"11,78%","31,56%",
Alto Piquiri/PR,PR,410070,7941,6840,1101,"13,86%",7812,6892,920,"11,78%","15,06%",
Jaupaci/GO,GO,521200,2350,1965,385,"16,38%",2454,2165,289,"11,78%","28,12%",
São Sebastião da Amoreira/PR,PR,412600,6658,5695,963,"14,46%",6533,5763,770,"11,79%","18,51%",
Novo Horizonte do Norte/MT,MT,510627,2902,2472,430,"14,82%",2731,2409,322,"11,79%","20,43%",
Muritiba/BA,BA,292230,21850,18171,3679,"16,84%",23243,20500,2743,"11,80%","29,91%",
Barão do Monte Alto/MG,MG,310550,4509,3771,738,"16,37%",4144,3655,489,"11,80%","27,90%",
Jequié/BA,BA,291800,115230,96906,18324,"15,90%",126360,111442,14918,"11,81%","25,76%",
Trairão/PA,PA,150805,11355,9110,2245,"19,77%",11084,9774,1310,"11,82%","40,22%",
Miradouro/MG,MG,314210,7945,6856,1089,"13,71%",7479,6595,884,"11,82%","13,77%",
Porto Esperidião/MT,MT,510682,7948,6804,1144,"14,39%",7835,6909,926,"11,82%","17,89%",
Guanambi/BA,BA,291170,60651,51300,9351,"15,42%",70670,62302,8368,"11,84%","23,20%",
Riachinho/MG,MG,315445,5759,4953,806,"14,00%",5502,4850,652,"11,85%","15,33%",
Bragança/PA,PA,150170,76592,64577,12015,"15,69%",92515,81547,10968,"11,86%","24,43%",
Tibau do Sul/RN,RN,241420,8178,6421,1757,"21,48%",13199,11634,1565,"11,86%","44,81%",
Benjamin Constant do Sul/RS,RS,430205,1637,1411,226,"13,81%",1628,1435,193,"11,86%","14,13%",
Buenópolis/MG,MG,310920,7913,6678,1235,"15,61%",7441,6558,883,"11,87%","23,97%",
Muniz Freire/ES,ES,320370,13815,11786,2029,"14,69%",14583,12852,1731,"11,87%","19,18%",
Itanhomi/MG,MG,313320,9077,7491,1586,"17,47%",9088,8008,1080,"11,88%","31,99%",
Congonhinhas/PR,PR,410600,6350,5276,1074,"16,91%",6633,5845,788,"11,88%","29,76%",
São João do Ivaí/PR,PR,412500,9180,7691,1489,"16,22%",8881,7826,1055,"11,88%","26,76%",
Uibaí/BA,BA,293240,10341,8626,1715,"16,58%",10972,9667,1305,"11,89%","28,28%",
Rio Sono/TO,TO,171875,4350,3485,865,"19,89%",3723,3280,443,"11,90%","40,16%",
Bom Jesus/PI,PI,220190,15987,13042,2945,"18,42%",21820,19223,2597,"11,90%","35,39%",
Santana do Garambéu/MG,MG,315870,1745,1453,292,"16,73%",1798,1584,214,"11,90%","28,87%",
Ibema/PR,PR,410975,4504,3967,537,"11,92%",4901,4318,583,"11,90%","0,23%",
Santa Maria do Tocantins/TO,TO,171888,2026,1669,357,"17,62%",2015,1775,240,"11,91%","32,41%",
Cacaulândia/RO,RO,110060,4071,3533,538,"13,22%",3221,2837,384,"11,92%","9,79%",
Uarini/AM,AM,130426,6787,5503,1284,"18,92%",9558,8418,1140,"11,93%","36,95%",
Brumado/BA,BA,290460,49706,41615,8091,"16,28%",57269,50434,6835,"11,93%","26,68%",
Roncador/PR,PR,412250,8818,7447,1371,"15,55%",9089,8005,1084,"11,93%","23,29%",
Itueta/MG,MG,313410,4545,3848,697,"15,34%",4901,4316,585,"11,94%","22,17%",
Quinta do Sol/PR,PR,412110,3955,3303,652,"16,49%",4041,3558,483,"11,95%","27,50%",
Santa Maria das Barreiras/PA,PA,150658,11887,9671,2216,"18,64%",12335,10858,1477,"11,97%","35,77%",
Salgueiro/PE,PE,261220,40786,34153,6633,"16,26%",47859,42128,5731,"11,97%","26,37%",
Novo Horizonte/BA,BA,292303,8051,6285,1766,"21,94%",8950,7877,1073,"11,99%","45,34%",
Carmópolis/SE,SE,280150,9304,7959,1345,"14,46%",10462,9206,1256,"12,01%","16,95%",
Amparo do Serra/MG,MG,310250,3891,3237,654,"16,81%",3787,3332,455,"12,01%","28,52%",
Periquito/MG,MG,314995,5024,4138,886,"17,64%",5144,4526,618,"12,01%","31,88%",
Lajeado do Bugre/RS,RS,431142,1833,1497,336,"18,33%",2048,1802,246,"12,01%","34,47%",
Tarumirim/MG,MG,316840,10852,8901,1951,"17,98%",12001,10558,1443,"12,02%","33,12%",
Novo Aripuanã/AM,AM,130330,13624,10933,2691,"19,75%",16819,14795,2024,"12,03%","39,07%",
Tupirama/TO,TO,172125,1122,943,179,"15,95%",1455,1280,175,"12,03%","24,61%",
Jequeri/MG,MG,313550,9929,8321,1608,"16,19%",10256,9022,1234,"12,03%","25,71%",
Juramento/MG,MG,313680,3073,2576,497,"16,17%",3084,2713,371,"12,03%","25,62%",
Matipó/MG,MG,314090,12650,10764,1886,"14,91%",14510,12765,1745,"12,03%","19,34%",
Ponta de Pedras/PA,PA,150570,17185,14708,2477,"14,41%",18547,16311,2236,"12,06%","16,36%",
Placas/PA,PA,150565,15581,12887,2694,"17,29%",13766,12105,1661,"12,07%","30,22%",
Rurópolis/PA,PA,150619,26367,21679,4688,"17,78%",25589,22500,3089,"12,07%","32,11%",
Bom Jesus do Tocantins/PA,PA,150157,10574,8339,2235,"21,14%",13977,12287,1690,"12,09%","42,79%",
Inhangapi/PA,PA,150340,6873,5800,1073,"15,61%",7717,6784,933,"12,09%","22,56%",
Areia Branca/RN,RN,240110,19184,16044,3140,"16,37%",19393,17048,2345,"12,09%","26,12%",
