Cidade,UF,,,População,População sem Água,População sem Esgoto,População sem coleta de lixo
Cruz do Espírito Santo,PB,Cruz do Espírito Santo/PB,250490,17095,"58,68%","85,38%","54,95%"
Ibiúna,SP,Ibiúna/SP,351970,75605,"63,80%","85,40%","40,48%"
Deodápolis,MS,Deodápolis/MS,500345,13663,"19,32%","85,44%","18,50%"
Corrente,PI,Corrente/PI,220290,27278,"28,53%","85,46%","37,91%"
Poranga,CE,Poranga/CE,231100,12065,"62,07%","85,49%",--
Francisco Badaró,MG,Francisco Badaró/MG,312650,7366,"41,03%","85,53%","55,20%"
Aquiraz,CE,Aquiraz/CE,230100,80645,"71,47%","85,70%",0%
Buriti Alegre,GO,Buriti Alegre/GO,520390,10495,"14,55%","85,78%","18,41%"
Massapê,CE,Massapê/CE,230800,37697,"21,82%","85,86%","7,15%"
Pirenópolis,GO,Pirenópolis/GO,521730,26690,"35,61%","85,90%","0,34%"
Icaraí de Minas,MG,Icaraí de Minas/MG,313005,10677,"72,20%","85,92%","25,07%"
Laje,BA,Laje/BA,291880,21052,"73,40%","85,94%","42,49%"
Granito,PE,Granito/PE,260630,6967,"32,18%","85,98%","53,61%"
Dom Pedrito,RS,Dom Pedrito/RS,430660,36981,"6,32%","86,01%","10,40%"
Santo Afonso,MT,Santo Afonso/MT,510726,2519,0%,"86,11%","44,14%"
Santa Rita de Cássia,BA,Santa Rita de Cássia/BA,292840,27390,"41,77%","86,13%",--
Uruçuca,BA,Uruçuca/BA,293270,21420,"15,50%","86,14%","20,66%"
Marituba,PA,Marituba/PA,150442,111785,"51,01%","86,17%","0,19%"
Porto União,SC,Porto União/SC,421360,32970,"2,49%","86,29%","8,03%"
Maetinga,BA,Maetinga/BA,291995,6973,"36,84%","86,30%","56,98%"
Aracati,CE,Aracati/CE,230110,75113,"32,52%","86,41%","21,45%"
Mesquita,RJ,Mesquita/RJ,330285,167127,"0,00%","86,46%",0%
Cairu,BA,Cairu/BA,290540,17761,"15,09%","86,46%",--
Fraiburgo,SC,Fraiburgo/SC,420550,33481,"11,86%","86,47%","3,85%"
Jacobina,BA,Jacobina/BA,291750,82590,"13,25%","86,56%","9,72%"
Cajueiro,AL,Cajueiro/AL,270130,16024,"1,98%","86,56%","1,98%"
Cabo de Santo Agostinho,PE,Cabo de Santo Agostinho/PE,260290,203440,"3,54%","86,59%","1,07%"
Divino de São Lourenço,ES,Divino de São Lourenço/ES,320180,5083,"60,81%","65,02%",0%
Garanhuns,PE,Garanhuns/PE,260600,142506,"0,01%","86,64%","0,01%"
Patos,PB,Patos/PB,251080,103165,0%,"86,64%","4,31%"
Euclides da Cunha,BA,Euclides da Cunha/BA,291070,61456,"31,75%","86,66%","46,30%"
Nova Brasilândia D'Oeste,RO,Nova Brasilândia D'Oeste/RO,110014,15679,"99,12%","86,93%","53,33%"
Itapetim,PE,Itapetim/PE,260770,13791,"16,87%","86,97%","40,61%"
Manga,MG,Manga/MG,313930,18886,"38,94%","87,01%","23,30%"
São José dos Quatro Marcos,MT,São José dos Quatro Marcos/MT,510710,17849,"25,17%","87,06%","25,68%"
Venâncio Aires,RS,Venâncio Aires/RS,432260,68763,"33,90%","87,08%","0,50%"
Turvo,PR,Turvo/PR,412796,14231,"33,60%","87,12%","49,41%"
Seringueiras,RO,Seringueiras/RO,110150,11171,"78,04%","87,15%","62,69%"
Sento Sé,BA,Sento Sé/BA,293020,38154,"60,69%","87,17%","45,86%"
Esmeraldas,MG,Esmeraldas/MG,312410,85598,"43,27%","87,23%",0%
São Gonçalo,RJ,São Gonçalo/RJ,330490,896744,"3,67%","87,27%",0%
Vila Bela da Santíssima Trindade,MT,Vila Bela da Santíssima Trindade/MT,510550,16774,"59,57%","87,35%",0%
Campo Alegre,AL,Campo Alegre/AL,270140,32106,0%,"87,54%","22,13%"
Capitão,RS,Capitão/RS,430469,2921,"4,14%","87,57%","56,97%"
Governador Lindenberg,ES,Governador Lindenberg/ES,320225,11009,"60,90%","70,42%","60,90%"
Lajedinho,BA,Lajedinho/BA,291900,3527,"33,63%","87,58%","63,20%"
Augustinópolis,TO,Augustinópolis/TO,170255,17484,"17,39%","87,60%","19,24%"
Figueira,PR,Figueira/PR,410775,8062,"0,01%","87,62%",0%
Parauapebas,PA,Parauapebas/PA,150553,267836,"48,99%","87,72%","2,66%"
Ituporanga,SC,Ituporanga/SC,420850,26525,"14,66%","87,76%","24,60%"
Maranguape,CE,Maranguape/CE,230770,105093,"28,34%","87,77%","13,13%"
São João do Triunfo,PR,São João do Triunfo/PR,412510,13726,"62,19%","87,80%","0,01%"
Bocaina,PI,Bocaina/PI,220180,4078,"47,92%","88,03%","39,92%"
Paragominas,PA,Paragominas/PA,150550,105550,"4,25%","88,07%","14,16%"
Casinhas,PE,Casinhas/PE,260415,12967,"73,11%","88,09%","48,17%"
Santa Bárbara,MG,Santa Bárbara/MG,315720,30466,"7,72%","88,27%","6,10%"
Itaporã,MS,Itaporã/MS,500450,24137,"37,78%","88,28%","37,85%"
São Gonçalo do Amarante,CE,São Gonçalo do Amarante/CE,231240,54143,"76,41%","88,28%","6,89%"
Iraí,RS,Iraí/RS,431050,7482,"48,04%","88,29%","38,76%"
Maravilha,SC,Maravilha/SC,421050,28251,"4,59%","88,50%","0,73%"
Cruzaltense,RS,Cruzaltense/RS,430613,1635,"77,19%","88,62%","38,84%"
Acarape,CE,Acarape/CE,230015,14027,"60,19%","88,71%","49,72%"
Independência,CE,Independência/CE,230560,24024,"32,45%","88,72%","55,09%"
Jacuípe,AL,Jacuípe/AL,270350,5352,"40,77%","88,79%","7,47%"
Coxim,MS,Coxim/MS,500330,32151,"9,86%","88,80%","8,95%"
Cajazeirinhas,PB,Cajazeirinhas/PB,250375,2740,"42,26%","88,80%","56,20%"
Itiúba,BA,Itiúba/BA,291700,33872,"44,11%","88,82%","25,36%"
Glória,BA,Glória/BA,291140,15524,"36,40%","88,93%","7,18%"
Estância,SE,Estância/SE,280210,65078,"15,38%","88,97%","15,38%"
Galvão,SC,Galvão/SC,420560,3210,"20,69%",89%,"36,14%"
Alcântaras,CE,Alcântaras/CE,230050,11369,"46,46%","89,10%","68,02%"
Muçum,RS,Muçum/RS,431260,4601,"9,11%","89,13%","8,69%"
Palmácia,CE,Palmácia/CE,231010,10242,"45,27%","89,14%",--
Gonçalves,MG,Gonçalves/MG,312740,4727,"74,28%","89,17%","2,69%"
Espumoso,RS,Espumoso/RS,430750,15173,"24,93%","89,20%","13,60%"
Pedro Gomes,MS,Pedro Gomes/MS,500640,6941,"24,69%","89,21%","23,93%"
Cariré,CE,Cariré/CE,230310,17632,"3,71%","89,26%","29,11%"
Dois Irmãos,RS,Dois Irmãos/RS,430640,30709,0%,"89,27%",0%
Almino Afonso,RN,Almino Afonso/RN,240060,4687,"39,11%","89,27%","28,55%"
Jaboti,PR,Jaboti/PR,411170,5427,"0,02%","89,29%","0,04%"
Montalvânia,MG,Montalvânia/MG,314270,14060,"35,43%","89,30%","35,43%"
Abaeté,MG,Abaeté/MG,310020,22675,"13,86%","89,32%","13,86%"
Cordeiro,RJ,Cordeiro/RJ,330150,20783,"2,50%","89,33%","3,29%"
Campo Redondo,RN,Campo Redondo/RN,240210,10215,"39,65%","89,35%","0,93%"
Eunápolis,BA,Eunápolis/BA,291072,113710,"6,88%","89,40%","2,16%"
Itapecuru Mirim,MA,Itapecuru Mirim/MA,210540,60440,"30,41%","89,44%","25,55%"
Ivoti,RS,Ivoti/RS,431080,22983,"0,31%","89,56%","9,40%"
Itapissuma,PE,Itapissuma/PE,260775,27749,"41,80%","89,62%","20,53%"
Paracuru,CE,Paracuru/CE,231020,38980,"78,26%","89,66%","19,19%"
São João da Ponte,MG,São João da Ponte/MG,316240,23930,"69,74%","89,71%",--
Rio do Antônio,BA,Rio do Antônio/BA,292680,13146,"42,01%","89,72%","20,30%"
Paraty,RJ,Paraty/RJ,330380,45243,"0,26%","89,83%","14,56%"
Vicentina,MS,Vicentina/MS,500840,6336,"29,64%","89,88%","28,91%"
Rio Bananal,ES,Rio Bananal/ES,320435,19274,"61,28%","66,58%","1,24%"
Novorizonte,MG,Novorizonte/MG,314537,4571,"35,42%","89,89%","65,61%"
Lagoa de Dentro,PB,Lagoa de Dentro/PB,250820,7819,"46,18%","89,91%","46,51%"
Eusébio,CE,Eusébio/CE,230428,74170,"47,74%","89,92%","0,68%"
Coreaú,CE,Coreaú/CE,230400,20953,"15,41%","90,03%",--
Campo Grande do Piauí,PI,Campo Grande do Piauí/PI,220213,6020,"1,99%","90,03%","75,08%"
Codó,MA,Codó/MA,210330,114275,"4,47%","90,04%","31,40%"
Águia Branca,ES,Águia Branca/ES,320013,9711,"62,56%","68,24%","42,41%"
Porto Velho,RO,Porto Velho/RO,110020,460434,"58,21%","90,11%",0%
Granjeiro,CE,Granjeiro/CE,230480,4841,"21,44%","90,19%","70,40%"
Campos Sales,CE,Campos Sales/CE,230270,25135,"16,27%","90,23%","0,01%"
Una,BA,Una/BA,293250,18131,"37,53%","90,24%","11,75%"
Barroquinha,CE,Barroquinha/CE,230205,14567,"40,87%","90,33%",--
Capinzal,SC,Capinzal/SC,420390,23314,"27,82%","90,34%","1,52%"
Lajeado do Bugre,RS,Lajeado do Bugre/RS,431142,2601,"1,23%","90,39%",--
Piatã,BA,Piatã/BA,292430,20086,0%,"90,53%","40,81%"
Taquarana,AL,Taquarana/AL,270910,19032,"56,18%","90,54%","57,97%"
Fartura do Piauí,PI,Fartura do Piauí/PI,220375,5284,"84,86%","90,54%","73,68%"
Quitandinha,PR,Quitandinha/PR,412120,18398,"55,08%","90,56%","47,71%"
Aral Moreira,MS,Aral Moreira/MS,500124,10748,"48,64%","90,57%","53,48%"
Santo Antônio,RN,Santo Antônio/RN,241150,22177,"48,12%","90,61%","34,62%"
Guajará-Mirim,RO,Guajará-Mirim/RO,110010,39387,"49,34%","90,61%","15,46%"
Touros,RN,Touros/RN,241440,33035,0%,"90,70%","58,86%"
Santa Maria,RN,Santa Maria/RN,240933,4847,"34,19%","90,72%","24,80%"
Miguel Pereira,RJ,Miguel Pereira/RJ,330290,26582,"13,76%","91,03%","1,06%"
Japaratuba,SE,Japaratuba/SE,280330,16209,"4,07%","91,05%","22,05%"
Cotiporã,RS,Cotiporã/RS,430595,3846,"43,81%","91,06%","47,66%"
Mucambo,CE,Mucambo/CE,230900,13666,"4,04%","91,07%","4,29%"
Lamarão,BA,Lamarão/BA,291910,9015,"38,31%","91,13%","39,86%"
Altaneira,CE,Altaneira/CE,230060,6782,"19,07%","91,18%","20,38%"
Santo Estêvão,BA,Santo Estêvão/BA,292880,52276,"42,24%","91,23%","17,23%"
Duque de Caxias,RJ,Duque de Caxias/RJ,330170,808161,"33,97%","91,27%",0%
Jijoca de Jericoacoara,CE,Jijoca de Jericoacoara/CE,230725,25555,"50,51%","91,45%","25,05%"
São Miguel do Tapuio,PI,São Miguel do Tapuio/PI,221040,17554,"66,61%","91,45%","31,64%"
Cumaru do Norte,PA,Cumaru do Norte/PA,150276,14036,"57,25%","91,45%","57,25%"
Inocência,MS,Inocência/MS,500440,8404,"36,97%","91,46%",0%
Entre Rios,BA,Entre Rios/BA,291050,38098,"38,21%","91,46%",--
Horizonte,CE,Horizonte/CE,230523,74755,"51,83%","91,48%","10,37%"
Barra de São Miguel,PB,Barra de São Miguel/PB,250170,5906,"45,48%","91,53%","57,96%"
Acopiara,CE,Acopiara/CE,230030,44962,"15,74%","91,56%",--
Moreilândia,PE,Moreilândia/PE,261430,10540,"45,18%","91,61%","38,79%"
Serrinha,BA,Serrinha/BA,293050,80435,"2,28%","91,67%",5%
Uruoca,CE,Uruoca/CE,231390,13746,"24,17%","91,67%","39,41%"
Orobó,PE,Orobó/PE,260970,21808,"64,95%","91,76%","27,66%"
Parnamirim,RN,Parnamirim/RN,240325,252716,"5,75%","91,78%",0%
Nova Hartz,RS,Nova Hartz/RS,431306,20088,"63,41%","91,79%",0%
São Luís do Curu,CE,São Luís do Curu/CE,231260,10822,"31,48%","91,80%",--
Cáceres,MT,Cáceres/MT,510250,89681,"6,26%","91,87%","5,22%"
Varzelândia,MG,Varzelândia/MG,317090,18840,"53,42%","91,87%","53,42%"
Lagarto,SE,Lagarto/SE,280350,101579,0%,"91,88%","1,55%"
Macapá,AP,Macapá/AP,160030,442933,"45,62%","91,95%","4,67%"
Guaiúba,CE,Guaiúba/CE,230495,24325,"44,95%","91,96%",--
Icaraíma,PR,Icaraíma/PR,410990,8991,"0,01%",92%,"39,77%"
Macuco,RJ,Macuco/RJ,330245,5415,"0,00%","92,00%",0%
São José de Ribamar,MA,São José de Ribamar/MA,211120,244579,"79,32%",92%,"1,87%"
Caridade do Piauí,PI,Caridade do Piauí/PI,220255,5033,"63,82%","92,05%","67,24%"
Doutor Ricardo,RS,Doutor Ricardo/RS,430675,1888,"1,17%","92,06%","36,44%"
Catuípe,RS,Catuípe/RS,430500,8674,"35,98%","92,16%","35,62%"
Xique-Xique,BA,Xique-Xique/BA,293360,44757,"16,21%","92,18%","26,03%"
Ibitiara,BA,Ibitiara/BA,291300,14637,"47,69%","92,23%","9,82%"
José da Penha,RN,José da Penha/RN,240600,5803,"31,52%","92,23%","27,62%"
Tupandi,RS,Tupandi/RS,432225,5029,"14,73%","92,24%","31,32%"
Bayeux,PB,Bayeux/PB,250180,82742,"22,54%","92,29%",--
Viamão,RS,Viamão/RS,432300,224112,0%,"92,30%","0,42%"
Aratuba,CE,Aratuba/CE,230140,11224,"73,98%","92,30%","64,73%"
Caxias,MA,Caxias/MA,210300,156973,"12,72%","92,36%","9,54%"
Paramoti,CE,Paramoti/CE,231040,10384,"51,43%","92,41%","15,99%"
Beberibe,CE,Beberibe/CE,230220,53114,"71,03%","92,47%","29,86%"
Santa Filomena,PE,Santa Filomena/PE,261255,12106,"54,12%","92,57%","52,92%"
Barreirinhas,MA,Barreirinhas/MA,210170,65589,"73,14%","92,60%","31,39%"
Guajará,AM,Guajará/AM,130165,13815,"8,01%","92,63%","15,31%"
Pinheirinho do Vale,RS,Pinheirinho do Vale/RS,431449,4540,"62,36%","92,73%","36,12%"
Simão Dias,SE,Simão Dias/SE,280710,42578,"16,37%","92,77%","9,72%"
Alhandra,PB,Alhandra/PB,250060,21730,"17,57%","92,80%","5,43%"
Juvenília,MG,Juvenília/MG,313695,5789,"39,21%","92,81%",--
Borborema,PB,Borborema/PB,250270,4214,"7,97%","92,88%","27,03%"
Urucuia,MG,Urucuia/MG,317052,17479,"60,98%","92,91%","54,80%"
Juazeirinho,PB,Juazeirinho/PB,250770,17007,"52,22%","92,94%",--
Iguaí,BA,Iguaí/BA,291350,21491,"43,29%","92,96%",--
Barbalha,CE,Barbalha/CE,230190,75033,"56,81%","92,99%","7,95%"
Aurora,CE,Aurora/CE,230170,23714,"60,06%","92,99%","3,26%"
Mamonas,MG,Mamonas/MG,313925,5997,"39,52%","93,01%",--
Banzaê,BA,Banzaê/BA,290265,11958,"65,78%","93,02%","5,71%"
Croatá,CE,Croatá/CE,230423,17481,"41,71%","93,10%","14,19%"
Barra de São Miguel,AL,Barra de São Miguel/AL,270060,7944,"15,32%","93,11%",0%
Camamu,BA,Camamu/BA,290580,30469,"44,03%","93,25%",--
Piraí,RJ,Piraí/RJ,330400,27474,"10,06%","93,37%",0%
Porto Franco,MA,Porto Franco/MA,210900,23903,"23,61%","93,52%","22,77%"
Brumado,BA,Brumado/BA,290460,70510,"20,26%","93,53%","18,17%"
Espinosa,MG,Espinosa/MG,312430,30443,"43,58%","93,59%",--
Tauá,CE,Tauá/CE,231330,61227,"33,01%","93,59%","42,11%"
Itambé,BA,Itambé/BA,291580,24394,"9,41%","93,60%","2,53%"
Monte Azul,MG,Monte Azul/MG,314290,20328,"43,49%","93,64%",--
Coroatá,MA,Coroatá/MA,210360,59566,"20,40%","93,66%",--
Pimenta Bueno,RO,Pimenta Bueno/RO,110018,35079,"7,11%","93,70%","7,11%"
São Gonçalo dos Campos,BA,São Gonçalo dos Campos/BA,292930,39513,"24,23%","93,75%",0%
Frecheirinha,CE,Frecheirinha/CE,230450,15657,"57,30%","93,79%","12,75%"
Tabuleiro do Norte,CE,Tabuleiro do Norte/CE,231310,30652,"45,01%","93,88%","3,76%"
Juscimeira,MT,Juscimeira/MT,510520,11480,"31,80%","93,89%",--
Novo Hamburgo,RS,Novo Hamburgo/RS,431340,227646,"3,20%","93,91%",0%
Cidreira,RS,Cidreira/RS,430545,17071,"9,96%","93,94%","1,93%"
Imbituba,SC,Imbituba/SC,420730,52579,0%,"94,03%","4,91%"
São Francisco de Assis,RS,São Francisco de Assis/RS,431810,17618,"28,07%","94,06%","29,84%"
Oeiras do Pará,PA,Oeiras do Pará/PA,150520,33844,"83,90%","94,09%","64,54%"
Santana do Acaraú,CE,Santana do Acaraú/CE,231200,30628,"29,80%","94,12%","33,53%"
Barro,CE,Barro/CE,230200,19381,"38,63%","94,15%","14,87%"
Muquém do São Francisco,BA,Muquém do São Francisco/BA,292225,10443,"57,29%","94,22%","41,40%"
Pedrão,BA,Pedrão/BA,292410,6235,"42,34%","94,27%","16,04%"
Mauriti,CE,Mauriti/CE,230810,45561,"48,70%","94,28%","3,43%"
Alto Araguaia,MT,Alto Araguaia/MT,510030,17193,"10,67%","94,30%","21,08%"
Monte Alegre,RN,Monte Alegre/RN,240780,23031,"37,31%","94,33%","56,63%"
Belford Roxo,RJ,Belford Roxo/RJ,330045,483087,"25,92%","94,38%","9,60%"
Granja,CE,Granja/CE,230470,53344,"18,83%","94,38%","50,81%"
Guaraciaba do Norte,CE,Guaraciaba do Norte/CE,230500,42053,0%,"94,40%",0%
Magé,RJ,Magé/RJ,330250,228127,"27,11%","94,43%",0%
Amapá,AP,Amapá/AP,160010,7943,"73,13%","94,45%","9,35%"
Campo do Brito,SE,Campo do Brito/SE,280100,18149,"10,52%","94,49%","39,24%"
Tacaratu,PE,Tacaratu/PE,261480,23902,"23,09%","94,74%","33,06%"
São Sebastião do Passé,BA,São Sebastião do Passé/BA,292950,40958,"19,46%","94,85%","4,78%"
Redenção,PA,Redenção/PA,150613,85597,"48,63%","94,87%",0%
Porteiras,CE,Porteiras/CE,231110,17050,"28,50%","94,89%","19,95%"
Monte Alegre dos Campos,RS,Monte Alegre dos Campos/RS,431237,3180,"60,35%","94,97%","61,10%"
Caém,BA,Caém/BA,290510,10384,"19,28%","94,98%","65,81%"
Caraí,MG,Caraí/MG,311300,19548,"67,33%",95%,"33,50%"
Barreira,CE,Barreira/CE,230195,22392,"71,24%",95%,"1,48%"
Cedro,CE,Cedro/CE,230380,22344,"22,53%","95,02%","38,55%"
Ruy Barbosa,BA,Ruy Barbosa/BA,292720,28282,"19,44%","95,04%","21,14%"
Acaraú,CE,Acaraú/CE,230020,65264,"53,61%","95,05%","16,78%"
Ituberá,BA,Ituberá/BA,291730,21902,"24,51%","95,09%","8,68%"
Arcoverde,PE,Arcoverde/PE,260120,77742,"0,20%","95,09%","4,17%"
Tunápolis,SC,Tunápolis/SC,421875,4916,"29,82%","95,18%","68,76%"
Graça,CE,Graça/CE,230465,13801,"52,59%","95,22%","29,35%"
Camalaú,PB,Camalaú/PB,250390,6085,"13,54%","95,25%","55,25%"
Sapiranga,RS,Sapiranga/RS,431990,75648,"2,04%","95,32%","3,64%"
Bacabal,MA,Bacabal/MA,210120,103711,"19,49%","95,34%",0%
Santa Luzia do Itanhy,SE,Santa Luzia do Itanhy/SE,280630,13616,"80,24%","95,37%","49,91%"
Tapes,RS,Tapes/RS,432110,14695,0%,"95,39%","1,01%"
Monte Belo,MG,Monte Belo/MG,314300,13046,"37,76%","95,40%",0%
Conceição do Jacuípe,BA,Conceição do Jacuípe/BA,290850,35308,"22,24%","95,40%","17,53%"
Juína,MT,Juína/MT,510515,45869,"12,25%","95,43%","6,58%"
Goianésia do Pará,PA,Goianésia do Pará/PA,150309,26362,"54,48%","95,45%","24,13%"
São Miguel do Oeste,SC,São Miguel do Oeste/SC,421720,44330,"15,70%","95,49%","16,54%"
Igarassu,PE,Igarassu/PE,260680,115196,"22,49%","95,50%",0%
Tapera,RS,Tapera/RS,432100,10592,"15,77%","95,55%","15,76%"
Altos,PI,Altos/PI,220040,47453,"55,02%","95,56%","32,56%"
Mulungu,CE,Mulungu/CE,230910,10569,"65,41%","95,74%",30%
Matias Cardoso,MG,Matias Cardoso/MG,314085,8895,"48,62%","95,76%","26,93%"
Junqueiro,AL,Junqueiro/AL,270400,23907,"65,29%","95,78%","7,98%"
Arroio Grande,RS,Arroio Grande/RS,430130,17558,"9,80%","95,88%","10,50%"
Novo Repartimento,PA,Novo Repartimento/PA,150506,60732,"92,34%","95,92%","17,67%"
José de Freitas,PI,José de Freitas/PI,220550,42559,"46,64%","95,93%","41,73%"
Figueirão,MS,Figueirão/MS,500390,3539,"48,57%","95,99%","48,29%"
Capim Grosso,BA,Capim Grosso/BA,290687,33235,"3,65%","95,99%","17,85%"
Santa Rita,PB,Santa Rita/PB,251370,149910,"9,16%","96,02%",0%
Simplício Mendes,PI,Simplício Mendes/PI,221080,13870,"36,83%","96,03%","42,32%"
Cruz Machado,PR,Cruz Machado/PR,410680,15978,"54,91%","96,04%","65,58%"
Balsas,MA,Balsas/MA,210140,101767,"13,59%","96,07%","17,95%"
Pedras de Fogo,PB,Pedras de Fogo/PB,251120,29662,"60,60%","96,12%","16,98%"
Nova Viçosa,BA,Nova Viçosa/BA,292300,39509,"14,14%","96,15%","4,33%"
Caçapava do Sul,RS,Caçapava do Sul/RS,430280,32515,"22,34%","96,16%","13,89%"
Santarém,PA,Santarém/PA,150680,331942,"51,20%","96,19%",14%
Entre Rios,SC,Entre Rios/SC,420517,3402,"71,02%","96,21%","70,61%"
Itarema,CE,Itarema/CE,230655,42957,"66,34%","96,21%","0,76%"
Águas Formosas,MG,Águas Formosas/MG,310090,18448,"20,33%","96,32%","24,11%"
Espigão D'Oeste,RO,Espigão D'Oeste/RO,110009,29414,"38,05%","96,45%","27,51%"
Campo Formoso,BA,Campo Formoso/BA,290600,71377,"45,43%","96,48%",--
Salitre,CE,Salitre/CE,231195,16633,"54,19%","96,51%",0%
Dom Aquino,MT,Dom Aquino/MT,510360,7872,"13,19%","96,54%",--
Palmeira dos Índios,AL,Palmeira dos Índios/AL,270630,71574,"5,23%","96,57%","8,44%"
São Jerônimo,RS,São Jerônimo/RS,431840,21028,"9,94%","96,58%","23,38%"
Pinhalão,PR,Pinhalão/PR,411920,6566,"6,05%","96,62%","19,28%"
Itabela,BA,Itabela/BA,291465,28165,"14,50%","96,74%","26,15%"
Vila Pavão,ES,Vila Pavão/ES,320515,8911,"63,61%",--,"65,51%"
Braga,RS,Braga/RS,430260,3268,"38,22%","96,79%","38,43%"
Conceição do Coité,BA,Conceição do Coité/BA,290840,67825,"15,07%","96,79%","2,35%"
Presidente Médici,MA,Presidente Médici/MA,210923,4696,"40,67%","96,81%","15,20%"
Santana do Ipanema,AL,Santana do Ipanema/AL,270800,46220,"10,06%","96,91%","19,70%"
Xinguara,PA,Xinguara/PA,150840,52893,"55,71%","96,91%","17,64%"
Macaíba,RN,Macaíba/RN,240710,82249,"48,74%","96,93%","5,77%"
Estreito,MA,Estreito/MA,210405,33294,"0,15%",97%,--
Marco,CE,Marco/CE,230780,25799,"17,38%","97,05%","3,56%"
Igrejinha,RS,Igrejinha/RS,431010,32808,"7,46%","97,07%","1,54%"
Ocara,CE,Ocara/CE,230945,24493,"22,92%","97,07%","30,39%"
Ulianópolis,PA,Ulianópolis/PA,150812,37972,0%,"97,08%","20,54%"
Barra de Santo Antônio,AL,Barra de Santo Antônio/AL,270050,16365,"6,94%","97,10%",--
Senador Canedo,GO,Senador Canedo/GO,522045,155635,"13,26%","97,11%","1,75%"
Estância Velha,RS,Estância Velha/RS,430760,47924,"12,22%","97,12%","0,03%"
Castro Alves,BA,Castro Alves/BA,290730,24712,"14,82%","97,14%","38,29%"
São João da Fronteira,PI,São João da Fronteira/PI,220987,5522,"59,47%","97,21%","59,47%"
Trairi,CE,Trairi/CE,231350,58415,"71,53%","97,22%","0,50%"
Serra Alta,SC,Serra Alta/SC,421755,3303,"45,05%","97,28%","43,96%"
Mato Leitão,RS,Mato Leitão/RS,431215,4859,"0,23%","97,32%","0,23%"
Osório,RS,Osório/RS,431350,47396,"16,37%","97,36%","1,20%"
Chapada do Norte,MG,Chapada do Norte/MG,311610,10337,23%,"97,38%","75,82%"
Uruana,GO,Uruana/GO,522170,13729,"15,22%","97,44%","19,88%"
Tutóia,MA,Tutóia/MA,211250,53356,"94,18%","97,44%","39,42%"
Ariquemes,RO,Ariquemes/RO,110002,96833,"11,75%","97,46%","11,75%"
Rolim de Moura,RO,Rolim de Moura/RO,110028,56406,"17,08%","97,47%","18,45%"
Vila Valério,ES,Vila Valério/ES,320517,13728,"66,51%","77,02%",--
Cascavel,CE,Cascavel/CE,230350,72720,"46,44%","97,57%","14,74%"
Pedro II,PI,Pedro II/PI,220790,37894,"26,72%","97,60%","39,47%"
Caapiranga,AM,Caapiranga/AM,130083,13469,"40,60%","97,62%","33,18%"
Gaspar,SC,Gaspar/SC,420590,72570,"3,37%","97,68%",0%
Tarrafas,CE,Tarrafas/CE,231325,7529,"44,40%","97,68%",0%
Pacajus,CE,Pacajus/CE,230960,70983,"55,53%","97,70%","11,55%"
Morada Nova,CE,Morada Nova/CE,230870,61443,"3,53%","97,72%","0,82%"
Ribeira do Pombal,BA,Ribeira do Pombal/BA,292660,54010,"30,29%","97,73%","36,88%"
Cabaceiras do Paraguaçu,BA,Cabaceiras do Paraguaçu/BA,290485,16559,"26,46%","97,76%","50,48%"
Encruzilhada do Sul,RS,Encruzilhada do Sul/RS,430690,23819,"22,95%","97,78%","24,43%"
Saúde,BA,Saúde/BA,292980,10478,"22,16%","97,80%",--
Lajeado,RS,Lajeado/RS,431140,93646,"7,82%","97,82%",0%
Pedra Branca,CE,Pedra Branca/CE,231050,40187,"47,04%","97,84%","20,01%"
Amargosa,BA,Amargosa/BA,290100,36521,"27,50%","97,85%","9,37%"
Breu Branco,PA,Breu Branco/PA,150178,45712,"37,34%","98,03%","12,15%"
Redenção,CE,Redenção/CE,231160,27214,"40,14%","98,08%","26,51%"
Aripuanã,MT,Aripuanã/MT,510140,24626,"41,12%","98,17%","26,25%"
Bom Jardim,PE,Bom Jardim/PE,260220,37629,"29,55%","98,20%","30,66%"
Queimadas,PB,Queimadas/PB,251250,47658,"27,58%","98,21%","18,17%"
Pomerode,SC,Pomerode/SC,421320,34289,"13,50%","98,29%","0,40%"
Baturité,CE,Baturité/CE,230210,35218,"40,58%","98,32%","30,58%"
Arapiraca,AL,Arapiraca/AL,270030,234696,"9,30%","98,35%",0%
Itupiranga,PA,Itupiranga/PA,150370,49754,"85,65%","98,36%","57,79%"
Nísia Floresta,RN,Nísia Floresta/RN,240820,31942,"49,80%","98,38%","46,78%"
Três Barras,SC,Três Barras/SC,421830,19746,0%,"98,41%",--
Santo Antônio da Patrulha,RS,Santo Antônio da Patrulha/RS,431760,42947,"35,05%","98,43%","0,10%"
Alto do Rodrigues,RN,Alto do Rodrigues/RN,240070,12484,"33,71%","98,45%",0%
Água Boa,MT,Água Boa/MT,510020,29219,"15,31%","98,46%",0%
Mazagão,AP,Mazagão/AP,160040,21924,"77,25%","98,51%","56,67%"
Saboeiro,CE,Saboeiro/CE,231190,13854,"33,42%","98,52%","6,01%"
Açailândia,MA,Açailândia/MA,210005,106550,0%,"98,52%",0%
São João,PE,São João/PE,261320,23837,"27,02%","98,53%","34,92%"
Ji-Paraná,RO,Ji-Paraná/RO,110012,124333,"19,28%","98,61%","1,04%"
Panambi,RS,Panambi/RS,431390,43515,"6,96%","98,63%","9,59%"
